x,y,2dKDE
-68.0,-25.0,3.386752183955235e-05
-68.0,-24.0,3.627960180572597e-05
-68.0,-23.0,3.8114959059570355e-05
-68.0,-22.0,3.9524412784071955e-05
-68.0,-21.0,4.059875599705841e-05
-68.0,-20.0,4.137660443517295e-05
-68.0,-19.0,4.1892130392885825e-05
-68.0,-18.0,4.221345346584703e-05
-68.0,-17.0,4.244424124249531e-05
-68.0,-16.0,4.2694527221575555e-05
-68.0,-15.0,4.3042238589863224e-05
-68.0,-14.0,4.3502947938928705e-05
-68.0,-13.0,4.401880287909313e-05
-68.0,-12.0,4.447538487180672e-05
-68.0,-11.0,4.474744092277799e-05
-68.0,-10.0,4.475555653040483e-05
-68.0,-9.0,4.45011469544664e-05
-68.0,-8.0,4.405712286392831e-05
-68.0,-7.0,4.352328319617523e-05
-68.0,-6.0,4.298030504896002e-05
-68.0,-5.0,4.2470795270477345e-05
-68.0,-4.0,4.200867932930146e-05
-68.0,-3.0,4.159824605262472e-05
-68.0,-2.0,4.124674101207053e-05
-68.0,-1.0,4.096717392132715e-05
-68.0,0.0,4.077282007588818e-05
-68.0,1.0,4.0663326590498874e-05
-68.0,2.0,4.060948104402914e-05
-68.0,3.0,4.055946175058622e-05
-68.0,4.0,4.048948292540943e-05
-68.0,5.0,4.0486858477013765e-05
-68.0,6.0,4.08033057934719e-05
-68.0,7.0,4.180219885213511e-05
-68.0,8.0,4.377894152536716e-05
-68.0,9.0,4.673194847380149e-05
-68.0,10.0,5.0228183102837045e-05
-68.0,11.0,5.347936725448783e-05
-68.0,12.0,5.562761592148192e-05
-68.0,13.0,5.610608937524982e-05
-68.0,14.0,5.488182472607303e-05
-68.0,15.0,5.24471611523024e-05
-68.0,16.0,4.9568470954971924e-05
-68.0,17.0,4.6936882963367426e-05
-68.0,18.0,4.490997959019871e-05
-68.0,19.0,4.346111026874078e-05
-68.0,20.0,4.2316583237846385e-05
-68.0,21.0,4.115483571213467e-05
-68.0,22.0,3.9734514479455385e-05
-68.0,23.0,3.790333560549388e-05
-68.0,24.0,3.5541786546082955e-05
-68.0,25.0,3.253445801508466e-05
-68.0,26.0,2.8815626159080682e-05
-68.0,27.0,2.4454747860688223e-05
-68.0,28.0,1.9704226187104436e-05
-68.0,29.0,1.495787377758953e-05
-67.0,-30.0,1.47871554397985e-05
-67.0,-29.0,2.0064116136123182e-05
-67.0,-28.0,2.554735156146128e-05
-67.0,-27.0,3.0725918757370525e-05
-67.0,-26.0,3.5199241984468446e-05
-67.0,-25.0,3.878779767279313e-05
-67.0,-24.0,4.1535992052212224e-05
-67.0,-23.0,4.361641467369377e-05
-67.0,-22.0,4.520649623797218e-05
-67.0,-21.0,4.6415978450192174e-05
-67.0,-20.0,4.729360824523521e-05
-67.0,-19.0,4.78800337084344e-05
-67.0,-18.0,4.8251211357543056e-05
-67.0,-17.0,4.852100909591885e-05
-67.0,-16.0,4.880954807464146e-05
-67.0,-15.0,4.920129933501089e-05
-67.0,-14.0,4.971225842117147e-05
-67.0,-13.0,5.0278035723804254e-05
-67.0,-12.0,5.0772516178365155e-05
-67.0,-11.0,5.105843575468602e-05
-67.0,-10.0,5.1050196188045086e-05
-67.0,-9.0,5.07525209008245e-05
-67.0,-8.0,5.0249497281872215e-05
-67.0,-7.0,4.965413645167574e-05
-67.0,-6.0,4.905657433570711e-05
-67.0,-5.0,4.850292688652373e-05
-67.0,-4.0,4.800608360992706e-05
-67.0,-3.0,4.7567285931553195e-05
-67.0,-2.0,4.7190508272662145e-05
-67.0,-1.0,4.688624903298334e-05
-67.0,0.0,4.666653362595376e-05
-67.0,1.0,4.653060777510438e-05
-67.0,2.0,4.6448531115433215e-05
-67.0,3.0,4.636794998264026e-05
-67.0,4.0,4.6270083792613475e-05
-67.0,5.0,4.626193661460843e-05
-67.0,6.0,4.663482006430516e-05
-67.0,7.0,4.7802900850567205e-05
-67.0,8.0,5.0098209333388494e-05
-67.0,9.0,5.351037578009212e-05
-67.0,10.0,5.753518674981541e-05
-67.0,11.0,6.126428574802287e-05
-67.0,12.0,6.37140567430107e-05
-67.0,13.0,6.423919878494198e-05
-67.0,14.0,6.280968213960912e-05
-67.0,15.0,5.9998202610541955e-05
-67.0,16.0,5.668910852274793e-05
-67.0,17.0,5.367604791393893e-05
-67.0,18.0,5.136593602266383e-05
-67.0,19.0,4.972282390293534e-05
-67.0,20.0,4.84278835869749e-05
-67.0,21.0,4.7109757427742744e-05
-67.0,22.0,4.549187570551295e-05
-67.0,23.0,4.3401645480930296e-05
-67.0,24.0,4.070426369517123e-05
-67.0,25.0,3.726846454355529e-05
-67.0,26.0,3.3018270852592234e-05
-67.0,27.0,2.8031464055423886e-05
-67.0,28.0,2.259535533176565e-05
-67.0,29.0,1.7160125028727282e-05
-66.0,-30.0,1.67344700733491e-05
-66.0,-29.0,2.2718233390366154e-05
-66.0,-28.0,2.8939163810691186e-05
-66.0,-27.0,3.48153143505384e-05
-66.0,-26.0,3.988818734059829e-05
-66.0,-25.0,4.394990951765272e-05
-66.0,-24.0,4.704865076004242e-05
-66.0,-23.0,4.938153398827056e-05
-66.0,-22.0,5.1154650026849335e-05
-66.0,-21.0,5.2499017771746755e-05
-66.0,-20.0,5.347554383644981e-05
-66.0,-19.0,5.413274417915391e-05
-66.0,-18.0,5.4554995665666905e-05
-66.0,-17.0,5.486609931376375e-05
-66.0,-16.0,5.5195298408114085e-05
-66.0,-15.0,5.56323311867444e-05
-66.0,-14.0,5.6192546108733484e-05
-66.0,-13.0,5.6804587392573804e-05
-66.0,-12.0,5.733103422151399e-05
-66.0,-11.0,5.7623714305668e-05
-66.0,-10.0,5.759234800047355e-05
-66.0,-9.0,5.724646394765459e-05
-66.0,-8.0,5.668243069501029e-05
-66.0,-7.0,5.602692683607958e-05
-66.0,-6.0,5.537930843536037e-05
-66.0,-5.0,5.478841271502379e-05
-66.0,-4.0,5.4264962575016474e-05
-66.0,-3.0,5.380582725362034e-05
-66.0,-2.0,5.34102960900532e-05
-66.0,-1.0,5.308503836263476e-05
-66.0,0.0,5.2839940421087195e-05
-66.0,1.0,5.267375396433135e-05
-66.0,2.0,5.255670566858036e-05
-66.0,3.0,5.243769342016157e-05
-66.0,4.0,5.2305299325524044e-05
-66.0,5.0,5.2288755374237056e-05
-66.0,6.0,5.272122955810404e-05
-66.0,7.0,5.4069053332371485e-05
-66.0,8.0,5.6700606418137733e-05
-66.0,9.0,6.059422756795019e-05
-66.0,10.0,6.516991802705372e-05
-66.0,11.0,6.939370922331261e-05
-66.0,12.0,7.21517632818342e-05
-66.0,13.0,7.271875182437179e-05
-66.0,14.0,7.106968501062096e-05
-66.0,15.0,6.786247374192618e-05
-66.0,16.0,6.410486298890776e-05
-66.0,17.0,6.069671013929206e-05
-66.0,18.0,5.8095046329650774e-05
-66.0,19.0,5.6252935182267125e-05
-66.0,20.0,5.480377971307395e-05
-66.0,21.0,5.3324354168225725e-05
-66.0,22.0,5.1501927437698695e-05
-66.0,23.0,4.914331502592861e-05
-66.0,24.0,4.609797079996789e-05
-66.0,25.0,4.221778586926831e-05
-66.0,26.0,3.741545542120777e-05
-66.0,27.0,3.1776821589455386e-05
-66.0,28.0,2.5625291510660598e-05
-66.0,29.0,1.9469945091872363e-05
-65.0,-30.0,1.8739287322359845e-05
-65.0,-29.0,2.5454332904865218e-05
-65.0,-28.0,3.243996486226999e-05
-65.0,-27.0,3.9040353060705325e-05
-65.0,-26.0,4.4735982112157534e-05
-65.0,-25.0,4.9288194903921236e-05
-65.0,-24.0,5.2747817701092426e-05
-65.0,-23.0,5.5336920395972145e-05
-65.0,-22.0,5.729190348616631e-05
-65.0,-21.0,5.876737580023598e-05
-65.0,-20.0,5.983874013621864e-05
-65.0,-19.0,6.056417040139761e-05
-65.0,-18.0,6.103728093862443e-05
-65.0,-17.0,6.139146099811602e-05
-65.0,-16.0,6.176372879863877e-05
-65.0,-15.0,6.224726946141198e-05
-65.0,-14.0,6.285522751218603e-05
-65.0,-13.0,6.350863260862918e-05
-65.0,-12.0,6.405930132446274e-05
-65.0,-11.0,6.434971570581637e-05
-65.0,-10.0,6.428697857151154e-05
-65.0,-9.0,6.388735174486748e-05
-65.0,-8.0,6.326075565437729e-05
-65.0,-7.0,6.254790180283683e-05
-65.0,-6.0,6.185687980554524e-05
-65.0,-5.0,6.12381556167284e-05
-65.0,-4.0,6.0698850787040794e-05
-65.0,-3.0,6.022985518012183e-05
-65.0,-2.0,5.982411038015588e-05
-65.0,-1.0,5.9482943619265175e-05
-65.0,0.0,5.9213106328475596e-05
-65.0,1.0,5.901279293920734e-05
-65.0,2.0,5.8853487812499176e-05
-65.0,3.0,5.868743173291265e-05
-65.0,4.0,5.8513154481938486e-05
-65.0,5.0,5.8484518922970327e-05
-65.0,6.0,5.897813050896792e-05
-65.0,7.0,6.051277112397517e-05
-65.0,8.0,6.349193881886621e-05
-65.0,9.0,6.788006957700653e-05
-65.0,10.0,7.301797969992826e-05
-65.0,11.0,7.774290553966542e-05
-65.0,12.0,8.080894605323303e-05
-65.0,13.0,8.141100046659018e-05
-65.0,14.0,7.953141314974987e-05
