id,x,y,z,2dKDE,3dKDE
0.0,52.453785,10.395601,-0.372233,0.00011052793105905952,1.864545690739168e-05
0.0,52.385952,10.399646,-0.37579,0.0001106544551877494,1.8725212867647884e-05
0.0,52.0,10.388187,-0.440352,0.0001113603491734108,1.9522047583245646e-05
0.0,51.867729,10.395146,-0.460599,0.00011158517222202716,1.9789031046859443e-05
0.0,51.801022,10.398557,-0.463461,0.00011169638044753068,1.9869861625947777e-05
0.0,51.5,10.385294,-0.510602,0.00011219667597269626,2.049196138389369e-05
0.0,51.287098,10.393381,-0.542025,0.00011252353369738711,2.0922462132465187e-05
0.0,51.222698,10.396081,-0.54431,0.00011261953144001369,2.1001587292554192e-05
0.0,51.0,10.38402,-0.577564,0.00011295585996180769,2.1451684874255105e-05
0.0,50.713707,10.392471,-0.616851,0.00011335242324545598,2.2003795119502543e-05
0.0,50.650501,10.394406,-0.618838,0.00011343690939278966,2.2082323989451407e-05
0.0,50.5,10.384768,-0.639619,0.00011364386081687364,2.2367107850015984e-05
0.0,50.144001,10.390829,-0.687124,0.00011409061301100985,2.3017196028313116e-05
0.0,50.082821,10.392126,-0.688701,0.000114164110705009,2.309223905030974e-05
0.0,50.0,10.385814,-0.699453,0.00011426829945587623,2.323616648572303e-05
0.0,49.578335,10.388834,-0.752864,0.00011474882366787611,2.393716996883176e-05
0.0,49.519665,10.389381,-0.753893,0.00011481259438005285,2.4006945923227557e-05
0.0,49.5,10.387673,-0.756348,0.00011483531801534523,2.4037705067731515e-05
0.0,49.350605,10.387239,-0.774194,0.00011499547784829866,2.4266480527485567e-05
0.0,49.021008,10.388346,-0.811541,0.0001153321252398079,2.4738034752153953e-05
0.0,49.0,10.388378,-0.811781,0.00011535294326007571,2.476243189947703e-05
0.0,48.963676,10.391453,-0.81169,0.00011538625378842503,2.4804094858422222e-05
0.0,48.737099,10.390385,-0.835315,0.00011560569725526602,2.5101621539192566e-05
0.0,48.5,10.388314,-0.861141,0.00011582722449998222,2.5393516580500946e-05
0.0,48.47245,10.390532,-0.863901,0.00011585030460315053,2.542632916548522e-05
0.0,48.413902,10.395307,-0.863067,0.00011589893270559815,2.5493288579006003e-05
0.0,48.0,10.387488,-0.906293,0.00011626420930047155,2.594109130912985e-05
0.0,47.927029,10.392843,-0.913159,0.00011632039013895577,2.601468964426042e-05
0.0,47.866379,10.397335,-0.912124,0.00011636655882916489,2.6084773660665144e-05
0.0,47.5,10.386746,-0.947218,0.00011666886072508053,2.6412687915745903e-05
0.0,47.385723,10.394399,-0.95739,0.0001167505042557334,2.6508011381763815e-05
0.0,47.32386,10.398534,-0.956017,0.00011679417500107345,2.6580471140152567e-05
0.0,47.0,10.387041,-0.984589,0.00011704564725708142,2.681570364212523e-05
0.0,46.848709,10.395824,-0.997058,0.00011714747313022621,2.6918214575273598e-05
0.0,46.785965,10.399415,-0.995134,0.00011718922814095551,2.6994032399834778e-05
0.0,46.5,10.387735,-1.018804,0.00011740007021351273,2.715641168583845e-05
0.0,46.315796,10.397798,-1.033052,0.00011751750106288851,2.7254165685775314e-05
0.0,46.251411,10.40138,-1.0308,0.00011755802761580094,2.733384240749358e-05
0.0,46.0,10.389242,-1.050299,0.00011773631230714453,2.7439877442060954e-05
0.0,45.785393,10.398972,-1.06564,0.00011786859261751991,2.75264101731815e-05
0.0,45.720089,10.402108,-1.063136,0.00011790831332726998,2.760875102651606e-05
0.0,45.5,10.390079,-1.078742,0.00011805976624167752,2.767578934223295e-05
0.0,45.258003,10.400314,-1.095287,0.00011820449104187812,2.7741235667799695e-05
0.0,45.191917,10.403023,-1.092213,0.00011824380496034037,2.7829184769262252e-05
0.0,45.0,10.391315,-1.104964,0.00011837315238463727,2.7864934736606063e-05
0.0,44.733868,10.401462,-1.121377,0.00011852955767812649,2.7914684953512004e-05
0.0,44.666924,10.404037,-1.118013,0.00011856871520310028,2.8006077319356497e-05
0.0,44.5,10.393294,-1.12765,0.00011867940937211733,2.8028251283081785e-05
0.0,44.213657,10.402677,-1.143484,0.00011884668616965767,2.8063439426472452e-05
0.0,44.14587,10.404933,-1.139748,0.00011888619702737426,2.8158955763650678e-05
0.0,44.0,10.395087,-1.147623,0.0001189820258901432,2.8165557526734475e-05
0.0,43.695831,10.404127,-1.163371,0.00011915954552262396,2.8177995480572355e-05
0.0,43.627045,10.406241,-1.159181,0.00011919967853520373,2.8278977009567998e-05
0.0,43.5,10.396908,-1.165238,0.00011928308358313182,2.827917470468091e-05
0.0,43.180271,10.405195,-1.180526,0.00011947086207498225,2.8271535903161295e-05
0.0,43.110855,10.407305,-1.175893,0.00011951154504322089,2.837769236986847e-05
0.0,43.0,10.398904,-1.180862,0.00011958428715055876,2.8369517116466952e-05
0.0,42.668282,10.407581,-1.195345,0.00011978038860518447,2.8345173202965405e-05
0.0,42.596981,10.409315,-1.190211,0.00011982281727275871,2.845786631689159e-05
0.0,42.5,10.40169,-1.193878,0.00011988664422184523,2.8450188302304945e-05
0.0,42.158905,10.409467,-1.206955,0.00012009105466188832,2.8417885122927883e-05
0.0,42.08633,10.410951,-1.201208,0.00012013488285755815,2.8538084656174716e-05
0.0,42.0,10.404138,-1.204248,0.0001201918370657117,2.852630406174314e-05
0.0,41.653732,10.411188,-1.21406,0.00012040227121032857,2.8515734946271526e-05
0.0,41.580002,10.412941,-1.207739,0.00012044721348531572,2.8642121991964685e-05
0.0,41.5,10.40638,-1.209799,0.00012050027502267046,2.8635850860882086e-05
